357.1,235.8,1,335.5,199.4,1
307.3,266.4,1,302.4,266.2,1
335.5,199.4,1,295.1,234.9,1
300.7,264.8,1,295.1,234.9,1
357.1,235.8,1,307.3,266.4,1
302.4,266.2,1,300.7,264.8,1
357.1,235.8,1,335.5,199.4,1
361.4,238.3,1,367.6,237.7,1
367.6,237.7,1,407.6,195.8,1
407.6,195.8,1,407.1,194.4,1
344.9,183.5,1,407.1,194.4,1
335.8,194.2,1,344.9,183.5,1
335.5,199.4,1,335.8,194.2,1
357.1,235.8,1,361.4,238.3,1
361.4,238.3,1,367.6,237.7,1
367.6,237.7,1,398.7,254.2,1
398.7,254.2,1,395.1,282.2,1
361.0,297.9,1,364.3,298.7,1
358.4,293.4,1,361.0,297.9,1
395.1,282.2,1,364.3,298.7,1
361.4,238.3,1,358.4,293.4,1
417.7,244.5,1,424.4,213.0,1
417.7,244.5,1,452.6,277.0,1
452.6,277.0,1,469.0,259.9,1
461.7,213.0,1,469.0,259.9,1
424.4,213.1,1,461.7,212.9,1
367.6,237.7,1,407.6,195.8,1
367.6,237.7,1,398.7,254.2,1
417.7,244.5,1,424.4,213.0,1
398.7,254.2,1,417.7,244.5,1
407.6,195.8,1,424.4,213.0,1
398.7,254.2,1,395.1,282.2,1
398.7,254.2,1,417.7,244.5,1
417.7,244.5,1,452.6,277.0,1
395.1,282.2,1,429.2,297.4,1
452.4,277.8,1,429.2,297.4,1
452.6,277.0,1,452.4,277.8,1
361.0,297.9,1,364.3,298.7,1
361.0,297.9,1,329.7,328.5,1
364.3,298.7,1,400.4,347.2,1
400.4,347.2,1,362.1,384.0,1
329.7,328.5,1,362.1,384.0,1
361.0,297.9,1,329.7,328.5,1
358.4,293.4,1,361.0,297.9,1
307.3,266.4,1,302.4,266.2,1
299.3,326.5,1,298.6,325.6,1
358.4,293.4,1,307.3,266.4,1
329.7,328.5,1,299.3,326.5,1
302.4,266.2,1,298.6,325.6,1
395.1,282.2,1,429.2,297.4,1
